name,price,href,core_count,core_clock,boost_clock,micro_architecture,tdp,graphics,socket
Intel Core i5-8600K,125,https://pcpartpicker.com/product/Mr2rxr/intel-core-i5-8600k-36ghz-6-core-processor-bx80684i58600k,6,3.6,4.3,Coffee Lake,95,Intel UHD Graphics 630,LGA1151
Intel Core i5-7500,89,https://pcpartpicker.com/product/QbGj4D/intel-core-i5-7500-34ghz-quad-core-processor-bx80677i57500,4,3.4,3.8,Kaby Lake,65,Intel HD Graphics 630,LGA1200
Intel Core i5-11400,129.99,https://pcpartpicker.com/product/92VmP6/intel-core-i5-11400-26-ghz-6-core-processor-bx8070811400,6,2.6,4.4,Rocket Lake,65,Intel UHD Graphics 730,AM4
AMD Ryzen 7 5800XT,239.35,https://pcpartpicker.com/product/fN88TW/amd-ryzen-7-5800xt-38-ghz-8-core-processor-100-100001582box,8,3.8,4.8,Zen 3,105,,LGA1151
Intel Core i7-9700,,https://pcpartpicker.com/product/L6vbt6/intel-core-i7-9700-3-ghz-8-core-processor-bx80684i79700,8,3,4.7,Coffee Lake Refresh,65,Intel HD Graphics 630,LGA1150
Intel Core i7-4770,74.95,https://pcpartpicker.com/product/sCNp99/intel-cpu-bx80646i74770,4,3.4,3.9,Haswell,84,Intel HD Graphics 4600,AM4
AMD Ryzen 9 5900XT,324.99,https://pcpartpicker.com/product/nYvD4D/amd-ryzen-9-5900xt-33-ghz-12-core-processor-100-100001581wof,16,3.3,4.8,Zen 3,105,,AM4
AMD Ryzen 5 3500X,,https://pcpartpicker.com/product/T9CFf7/amd-ryzen-5-3500x-36-ghz-6-core-processor-100-000000158,6,3.6,4.1,Zen 2,65,,LGA1700
Intel Core i3-14100,138.48,https://pcpartpicker.com/product/qtBzK8/intel-core-i3-14100-35-ghz-quad-core-processor-bx8071514100,4,3.5,4.7,Raptor Lake Refresh,60,Intel UHD Graphics 730,LGA1150
Intel Core i5-4690K,59,https://pcpartpicker.com/product/Tvzv6h/intel-cpu-bx80646i54690k,4,3.5,3.9,Haswell Refresh,88,Intel HD Graphics 4600,AM4
AMD Ryzen 3 2200G,110,https://pcpartpicker.com/product/RkJtt6/amd-ryzen-3-2200g-35ghz-quad-core-processor-yd2200c5fbbox,4,3.5,3.7,Zen,65,Radeon Vega 8,LGA1200
Intel Core i5-10600KF,100,https://pcpartpicker.com/product/p6jNnQ/intel-core-i5-10600kf-41-ghz-6-core-processor-bx8070110600kf,6,4.1,4.8,Comet Lake,125,,AM4
AMD Ryzen 9 3950X,2146.98,https://pcpartpicker.com/product/zsxbt6/amd-ryzen-9-3950x-35-ghz-16-core-oemtray-processor-100-000000051,16,3.5,4.7,Zen 2,105,,LGA1700
